"Country","FreedomintheWorld","IndexofEconomicFreedom","PressFreedomIndex","DemocracyIndex"
"Afghanistan","not free","mostly unfree","difficult situation","authoritarian regime"
"Albania","partly free","moderately free","problematic situation","hybrid regime"
"Algeria","not free","repressed","difficult situation","authoritarian regime"
"Andorra","free",NA,"satisfactory situation",NA
"Angola","not free","mostly unfree","problematic situation","authoritarian regime"
"Antigua and Barbuda","free",NA,"problematic situation",NA
"Argentina","free","mostly unfree","problematic situation","flawed democracy"
"Armenia","partly free","moderately free","problematic situation","hybrid regime"
"Australia","free","free","satisfactory situation","full democracy"
"Austria","free","mostly free","satisfactory situation","full democracy"
"Azerbaijan","not free","moderately free","very serious situation","authoritarian regime"
"Bahamas","free","moderately free","problematic situation",NA
"Bahrain","not free","moderately free","very serious situation","authoritarian regime"
"Bangladesh","partly free","mostly unfree","difficult situation","hybrid regime"
"Barbados","free","moderately free","problematic situation",NA
"Belarus","not free","mostly unfree","difficult situation","authoritarian regime"
"Belgium","free","moderately free","good situation","flawed democracy"
"Belize","free","mostly unfree","problematic situation",NA
"Benin","free","mostly unfree","problematic situation","hybrid regime"
"Bhutan","partly free","moderately free","problematic situation","hybrid regime"
"Bolivia","partly free","repressed","difficult situation","hybrid regime"
"Bosnia and Herzegovina","partly free","moderately free","problematic situation","hybrid regime"
"Botswana","free","moderately free","problematic situation","flawed democracy"
"Brazil","free","mostly unfree","problematic situation","flawed democracy"
"Brunei","not free","moderately free","difficult situation",NA
"Bulgaria","free","moderately free","difficult situation","flawed democracy"
"Burkina Faso","partly free","mostly unfree","satisfactory situation","hybrid regime"
"Burma","partly free","mostly unfree","difficult situation","authoritarian regime"
"Burundi","not free","repressed","difficult situation","authoritarian regime"
"Cambodia","not free","mostly unfree","difficult situation","authoritarian regime"
"Cameroon","not free","mostly unfree","difficult situation","authoritarian regime"
"Canada","free","mostly free","satisfactory situation","full democracy"
"Cape Verde","free","moderately free","satisfactory situation","flawed democracy"
"Central African Republic","not free","repressed","difficult situation","authoritarian regime"
"Chad","not free","repressed","difficult situation","authoritarian regime"
"Chile","free","mostly free","problematic situation","flawed democracy"
"China","not free","mostly unfree","very serious situation","authoritarian regime"
"Colombia","partly free","moderately free","difficult situation","flawed democracy"
"Comoros","partly free","mostly unfree","problematic situation","authoritarian regime"
"Costa Rica","free","moderately free","good situation","full democracy"
"Congo, Democratic Republic of the","not free","mostly unfree","difficult situation","authoritarian regime"
"Congo, Republic of the","not free","repressed","difficult situation","authoritarian regime"
"Croatia","free","moderately free","problematic situation","flawed democracy"
"Cuba","not free","repressed","very serious situation","authoritarian regime"
"Cyprus","free","moderately free","satisfactory situation","flawed democracy"
"Czech Republic","free","mostly free","satisfactory situation","flawed democracy"
"Denmark","free","mostly free","good situation","full democracy"
"Djibouti","not free","repressed","very serious situation","authoritarian regime"
"Dominica","free","moderately free","problematic situation",NA
"Dominican Republic","partly free","moderately free","problematic situation","flawed democracy"
"East Timor","free","repressed","problematic situation","flawed democracy"
"Ecuador","partly free","repressed","problematic situation","flawed democracy"
"Egypt","not free","mostly unfree","very serious situation","authoritarian regime"
"El Salvador","free","moderately free","problematic situation","hybrid regime"
"Equatorial Guinea","not free","repressed","very serious situation","authoritarian regime"
"Eritrea","not free","repressed","very serious situation","authoritarian regime"
"Estonia","free","mostly free","good situation","flawed democracy"
"Eswatini","not free","mostly unfree","difficult situation","authoritarian regime"
"Ethiopia","not free","mostly unfree","difficult situation","authoritarian regime"
"Fiji","partly free","moderately free","problematic situation","hybrid regime"
"Finland","free","mostly free","good situation","full democracy"
"France","free","moderately free","satisfactory situation","flawed democracy"
"Gabon","not free","mostly unfree","difficult situation","authoritarian regime"
"Gambia","partly free","mostly unfree","problematic situation","hybrid regime"
"Gaza Strip","not free",NA,"difficult situation",NA
"Georgia","partly free","mostly free","problematic situation","hybrid regime"
"Germany","free","mostly free","good situation","full democracy"
"Ghana","free","mostly unfree","satisfactory situation","flawed democracy"
"Greece","free","mostly unfree","problematic situation","flawed democracy"
"Grenada","free",NA,"problematic situation",NA
"Guatemala","partly free","moderately free","difficult situation","hybrid regime"
"Guinea","partly free","mostly unfree","problematic situation","authoritarian regime"
"Guinea-Bissau","partly free","mostly unfree","problematic situation","authoritarian regime"
"Guyana","free","mostly unfree","problematic situation","flawed democracy"
"Haiti","partly free","mostly unfree","problematic situation","hybrid regime"
"Honduras","partly free","moderately free","difficult situation","hybrid regime"
"Hong Kong","partly free","free","problematic situation","flawed democracy"
"Hungary","partly free","moderately free","problematic situation","flawed democracy"
"Iceland","free","mostly free","good situation","full democracy"
"India","free","mostly unfree","difficult situation","flawed democracy"
"Indonesia","partly free","moderately free","difficult situation","flawed democracy"
"Iran","not free","mostly unfree","very serious situation","authoritarian regime"
"Iraq","not free",NA,"difficult situation","hybrid regime"
"Ireland","free","free","good situation","full democracy"
"Israel","free","mostly free","problematic situation","flawed democracy"
"Italy","free","moderately free","satisfactory situation","flawed democracy"
"Ivory Coast","partly free","moderately free","problematic situation","hybrid regime"
"Jamaica","free","moderately free","good situation","flawed democracy"
"Japan","free","mostly free","problematic situation","flawed democracy"
"Jordan","partly free","moderately free","difficult situation","authoritarian regime"
