"","Representative","Party","Residence"
"2","Davina Duerr","Democratic","Bothell"
"3","Shelley Kloba","Democratic","Kirkland"
"4","Andrew Barkis","Republican","Lacey"
"5","J.T. Wilcox","Republican","Roy"
"6","Marcus Riccelli","Democratic","Spokane"
"7","Timm Ormsby","Democratic","Spokane"
"8","Bob McCaslin, Jr.","Republican","Spokane Valley"
"9","Matt Shea","Republican","Spokane Valley"
"10","Bill Ramos","Democratic","Snoqualmie"
"11","Lisa Callan","Democratic","Fall City"
"12","Mike Volz","Republican","Spokane"
"13","Jenny Graham","Republican","Cheney"
"14","Jacquelin Maycumber","Republican","Republic"
"15","Joel Kretz","Republican","Wauconda"
"16","Brad Klippert","Republican","Kennewick"
"17","Matt Boehnke","Republican","Richland"
"18","Mary Dye","Republican","Pomeroy"
"19","Joe Schmick","Republican","Colfax"
"20","Norma Smith","Republican","Clinton"
"21","Dave Paul","Democratic","Camano island"
"22","Zack Hudgins","Democratic","Tukwila"
"23","Steve Bergquist","Democratic","Renton"
"24","Keith Goehner","Republican","East Wenatchee"
"25","Mike Steele","Republican","Chelan"
"26","Tom Dent","Republican","Moses Lake"
"27","Alex Ybarra","Republican","Ellensburg"
"28","Chris Corry","Republican","Yakima"
"29","Gina Mosbrucker","Republican","Goldendale"
"30","Bruce Chandler","Republican","Granger"
"31","Jeremie Dufault","Republican","Moxee"
"32","Bill Jenkin","Republican","Prosser"
"33","Skyler Rude","Republican","Walla Walla"
"34","Vicki Kraft","Republican","Vancouver"
"35","Paul Harris","Republican","Vancouver"
"36","Brandon Vick","Republican","Felida"
"37","Larry A. Hoff","Republican","Camas"
"38","Jim Walsh","Republican","Aberdeen"
"39","Brian Blake","Democratic","Aberdeen"
"40","Richard DeBolt","Republican","Chehalis"
"41","Ed Orcutt","Republican","Kalama"
"42","Strom Peterson","Democratic","Edmonds"
"43","Lillian Ortiz-Self","Democratic","Mukilteo"
"44","Laurie Dolan","Democratic","Olympia"
"45","Beth Doglio","Democratic","Olympia"
"46","Sherry Appleton","Democratic","Poulsbo"
"47","Drew Hansen","Democratic","Bainbridge Island"
"48","Mike Chapman","Democratic","Port Angeles"
"49","Steve Tharinger","Democratic","Sequim"
"50","Kelly Chambers","Republican","Puyallup"
"51","Chris Gildon","Republican","Puyallup"
"52","Jesse Young","Republican","Gig Harbor"
"53","Michelle Caldier","Republican","Port Orchard"
"54","Laurie Jinkins","Democratic","Tacoma"
"55","Jake Fey","Democratic","Tacoma"
"56","Mari Leavitt","Democratic","Steilacoom"
"57","Christine Kilduff","Democratic","University Place"
"58","Melanie Morgan","Democratic","Lakewood"
"59","Steve Kirby","Democratic","Tacoma"
"60","Mike Pellicciotti","Democratic","Federal Way"
"61","Kristine Reeves","Democratic","Federal Way"
"62","Morgan Irwin","Republican","Enumclaw"
"63","Drew Stokesbary","Republican","Auburn"
"64","Cindy Ryu","Democratic","Shoreline"
"65","Lauren Davis","Democratic","Seattle"
"66","Tina Orwall","Democratic","Des Moines"
"67","Mia Gregerson","Democratic","SeaTac"
"68","Eileen Cody","Democratic","Seattle"
"69","Joe Fitzgibbon","Democratic","Burien"
"70","Dan Griffey","Republican","Allyn"
"71","Drew MacEwen","Republican","Union"
"72","Noel Frame","Democratic","Seattle"
"73","Gael Tarleton","Democratic","Seattle"
"74","Sharon Tomiko Santos","Democratic","Seattle"
"75","Eric Pettigrew","Democratic","Seattle"
"76","June Robinson","Democratic","Everett"
"77","Mike Sells","Democratic","Everett"
"78","Robert J. Sutherland","Republican","Snohomish"
"79","Carolyn Eslick","Republican","Sultan"
"80","Debra Lekanoff","Democratic","Anacortes"
"81","Jeff Morris","Democratic","Mount Vernon"
"82","Tana Senn","Democratic","Mercer Island"
"83","My-Linh Thai","Democratic","Mercer Island"
"84","Luanne VanWerven","Republican","Lynden"
"85","Sharon Shewmake","Democratic","Lynden"
"86","Nicole Macri","Democratic","Seattle"
"87","Frank Chopp","Democratic","Seattle"
"88","John Lovick","Democratic","Mill Creek"
"89","Jared Mead","Democratic","Mill Creek"
"90","Roger Goodman","Democratic","Kirkland"
"91","Larry Springer","Democratic","Kirkland"
"92","Gerry Pollet","Democratic","Seattle"
"93","Javier Valdez","Democratic","Seattle"
"94","Debra Entenman","Democratic","Covington"
"95","Pat Sullivan","Democratic","Covington"
"96","Vandana Slatter","Democratic","Bellevue"
"97","Amy Walen","Democratic","Kirkland"
"98","Sharon Wylie","Democratic","Vancouver"
"99","Monica Stonier","Democratic","Vancouver"
