city,      D_In_PrivacyPolicy,D_In_AwarenessDigitalThreats,D_In_PubPrivPartnerships,D_In_TechnologyEmployed,D_In_CyberSecurity,D_Out_IdentityTheft,D_Out_CompInfected,D_Out_InternetAccess,H_In_EnvironmentPolicies,H_In_AccessHealthcare,H_In_Beds_1000,H_In_Doctors_1000,H_In_AccessFood,H_In_QualityHealthServ,H_Out_AirQuality,H_Out_WaterQuality,H_Out_LifeExpectY,H_Out_InfMortality,H_Out_CancerMortality,H_Out_AttacksBioChemRad,I_In_EnforceTransportSafety,I_In_PedestrianFriendliness,I_In_QualityRoad,I_In_QualityElectricity,I_In_DisasterManagement,I_Out_DeathsDisaster,I_Out_VehicularAccidents,I_Out_PedestrianDeath,I_Out_LiveSlums,I_Out_AttacksInfrastructure,P_In_PoliceEngage,P_In_CommunityPatrol,P_In_StreetCrimeData,P_In_TechForCrime,P_In_PrivateSecurity,P_In_GunRegulation,P_In_PoliticalStability,P_Out_PettyCrime,P_Out_ViolentCrime,P_Out_OrganisedCrime,P_Out_Corruption,P_Out_DrugUse ,P_Out_TerroristAttacks ,P_Out_SeverityTerrorist,P_Out_GenderSafety,P_Out_PerceptionSafety,P_Out_ThreaTerrorism,P_Out_ThreatMilitaryConf,P_Out_ThreatCivUnrest
Abu Dhabi,50.0,66.7,50.0,100.0,50.0,100.0,25.0,97.6,62.8,73.3,8.3,16.4,99.7,75.0,44.2,91.3,74.9,93.2,83.4,100.0,100.0,100.0,100.0,75.0,75.0,100.0,95.7,68.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,47.6,55.0,75.0,100.0,75.0,66.0,86.8,99.9,100.0,96.1,84.5,75.0,100.0,75.0
Amsterdam,100.0,100.0,50.0,100.0,50.0,99.7,75.0,100.0,97.7,100.0,38.0,38.0,100.0,100.0,84.4,94.5,90.4,97.4,17.1,100.0,70.0,100.0,100.0,100.0,100.0,99.7,96.6,100.0,94.2,100.0,100.0,100.0,100.0,100.0,100.0,68.3,80.0,50.0,75.0,100.0,83.0,64.6,99.9,100.0,96.9,67.4,75.0,100.0,75.0
Athens,75.0,100.0,0.0,75.0,50.0,100.0,25.0,66.6,41.9,73.3,38.8,73.0,100.0,62.5,85.0,87.6,90.0,96.7,45.9,100.0,60.0,100.0,50.0,75.0,75.0,98.4,97.2,84.9,88.6,91.5,50.0,0.0,100.0,100.0,100.0,31.7,70.0,75.0,100.0,50.0,44.0,92.5,79.7,99.3,92.6,49.3,75.0,75.0,50.0
Bangkok,25.0,66.7,0.0,0.0,50.0,100.0,50.0,31.7,72.1,80.0,16.5,2.3,98.2,62.5,76.5,79.3,63.9,86.0,62.2,100.0,52.5,50.0,25.0,100.0,75.0,97.2,90.6,68.3,54.6,70.2,50.0,100.0,0.0,100.0,100.0,41.3,40.0,50.0,75.0,50.0,35.0,92.4,89.5,88.6,87.9,51.4,25.0,50.0,25.0
Barcelona,100.0,100.0,50.0,100.0,50.0,100.0,25.0,81.7,81.4,93.3,24.8,43.6,100.0,100.0,84.7,78.3,96.7,96.9,42.8,100.0,82.5,100.0,100.0,100.0,100.0,99.4,90.2,93.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.7,70.0,75.0,75.0,75.0,58.0,65.2,100.0,100.0,96.8,60.4,75.0,100.0,75.0
Beijing,75.0,66.7,0.0,75.0,100.0,100.0,25.0,77.3,79.1,86.7,47.9,44.6,96.2,62.5,14.8,86.0,69.1,88.0,36.8,100.0,77.5,50.0,75.0,100.0,50.0,96.4,99.7,42.1,54.3,100.0,50.0,100.0,100.0,100.0,100.0,100.0,45.0,50.0,75.0,50.0,40.0,100.0,99.8,98.6,96.6,58.4,100.0,75.0,75.0
Bogota,50.0,33.3,0.0,75.0,50.0,100.0,50.0,52.7,62.8,73.3,11.6,16.5,92.8,62.5,76.0,71.4,62.4,81.2,74.0,100.0,40.0,100.0,50.0,75.0,50.0,93.2,96.4,42.6,76.2,74.5,50.0,100.0,0.0,100.0,100.0,41.3,65.0,0.0,25.0,25.0,37.0,88.2,95.4,96.6,0.0,36.4,50.0,50.0,50.0
Brussels,100.0,100.0,50.0,100.0,50.0,100.0,50.0,89.8,97.7,100.0,52.9,33.4,100.0,100.0,81.8,94.9,88.9,97.2,30.3,100.0,67.5,100.0,75.0,100.0,100.0,66.8,89.0,92.9,96.6,97.9,50.0,100.0,100.0,100.0,100.0,58.7,75.0,75.0,75.0,75.0,77.0,83.4,99.4,96.7,92.4,45.5,50.0,100.0,100.0
Buenos Aires,75.0,33.3,50.0,75.0,100.0,100.0,75.0,69.9,90.7,93.3,38.0,42.9,99.2,75.0,85.8,80.6,70.4,85.1,37.0,100.0,62.5,100.0,75.0,100.0,100.0,97.3,91.9,87.7,69.7,95.7,50.0,0.0,100.0,100.0,100.0,68.3,60.0,50.0,50.0,50.0,36.0,85.4,99.4,100.0,87.4,38.9,75.0,100.0,50.0
Cairo,50.0,33.3,0.0,0.0,50.0,100.0,50.0,29.8,46.5,60.0,3.3,7.4,99.5,37.5,24.4,74.5,51.7,70.8,51.9,100.0,60.0,50.0,50.0,75.0,50.0,95.9,99.6,61.3,80.8,57.4,50.0,100.0,100.0,100.0,100.0,41.3,50.0,50.0,75.0,50.0,34.0,82.1,91.1,90.7,79.1,44.1,50.0,75.0,25.0
Caracas,25.0,33.3,50.0,75.0,50.0,100.0,50.0,60.3,23.3,53.3,6.6,20.8,94.2,37.5,74.6,51.5,63.2,82.3,73.5,100.0,40.0,0.0,50.0,50.0,50.0,100.0,97.1,55.1,41.9,100.0,50.0,100.0,0.0,0.0,100.0,90.5,25.0,0.0,0.0,0.0,17.0,86.9,99.4,99.8,18.6,13.4,75.0,75.0,25.0
Casablanca,75.0,33.3,0.0,75.0,50.0,100.0,50.0,54.2,62.8,60.0,6.6,5.0,87.7,37.5,74.4,68.9,62.8,65.5,71.0,100.0,57.5,0.0,50.0,75.0,75.0,97.3,93.5,38.1,76.2,100.0,100.0,0.0,100.0,0.0,100.0,60.3,40.0,75.0,75.0,25.0,37.0,88.9,99.6,99.3,96.3,45.7,50.0,75.0,50.0
Chicago,100.0,100.0,100.0,100.0,100.0,85.5,50.0,85.0,90.7,93.3,19.8,30.3,99.3,87.5,88.3,74.7,80.2,92.1,5.1,100.0,77.5,100.0,75.0,100.0,100.0,96.3,38.4,89.8,97.7,100.0,100.0,100.0,100.0,100.0,100.0,41.3,80.0,75.0,75.0,75.0,74.0,73.5,100.0,100.0,65.9,34.6,75.0,100.0,75.0
Dallas,100.0,100.0,100.0,100.0,100.0,85.5,50.0,72.4,74.4,86.7,18.2,23.3,99.3,87.5,90.0,74.6,78.3,93.3,17.7,100.0,77.5,50.0,75.0,100.0,100.0,96.3,24.8,70.0,98.7,100.0,100.0,100.0,100.0,100.0,100.0,0.0,80.0,75.0,50.0,75.0,74.0,83.0,99.9,99.7,80.9,56.5,75.0,100.0,75.0
Delhi,25.0,66.7,50.0,75.0,100.0,97.9,25.0,14.7,90.7,80.0,21.6,6.3,82.5,62.5,22.1,74.6,40.6,43.4,91.5,100.0,37.5,0.0,50.0,50.0,50.0,90.7,98.9,59.9,56.4,91.5,100.0,100.0,100.0,100.0,100.0,49.2,75.0,50.0,50.0,50.0,40.0,86.6,98.4,96.3,83.1,39.2,50.0,75.0,50.0
Dhaka,0.0,33.3,50.0,0.0,50.0,100.0,50.0,0.0,4.7,46.7,4.1,2.3,76.5,37.5,10.3,75.6,54.3,54.6,80.5,100.0,30.0,0.0,0.0,50.0,25.0,95.3,100.0,49.9,0.0,34.0,100.0,100.0,0.0,100.0,100.0,76.2,45.0,50.0,50.0,75.0,26.0,90.0,76.0,89.3,81.0,30.9,25.0,75.0,50.0
Doha,50.0,66.7,50.0,75.0,50.0,84.4,25.0,99.7,27.9,80.0,9.1,21.3,87.5,75.0,6.6,86.3,79.4,91.8,86.4,100.0,77.5,50.0,75.0,75.0,100.0,100.0,92.6,47.1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,60.3,60.0,75.0,100.0,100.0,61.0,92.8,99.9,100.0,64.3,83.4,75.0,75.0,75.0
Frankfurt,100.0,100.0,50.0,100.0,50.0,100.0,50.0,93.0,90.7,100.0,66.9,47.3,100.0,100.0,81.7,97.0,88.1,97.5,39.4,100.0,75.0,100.0,100.0,100.0,100.0,99.6,15.2,95.1,96.7,100.0,100.0,100.0,100.0,100.0,100.0,57.1,85.0,75.0,75.0,75.0,81.0,67.8,99.9,99.9,95.6,60.9,75.0,100.0,75.0
Ho Chi Minh City,25.0,33.3,0.0,0.0,50.0,100.0,25.0,48.7,62.8,73.3,15.7,11.8,85.5,37.5,71.7,75.8,68.3,75.4,57.5,100.0,65.0,50.0,25.0,50.0,25.0,94.2,99.4,98.0,50.6,100.0,0.0,0.0,0.0,0.0,100.0,100.0,45.0,25.0,50.0,50.0,33.0,98.0,100.0,100.0,94.9,41.9,75.0,75.0,50.0
Hong Kong,100.0,100.0,100.0,100.0,100.0,100.0,25.0,89.6,97.7,93.3,42.2,20.5,96.2,87.5,70.5,83.1,100.0,100.0,63.5,25.0,77.5,100.0,100.0,100.0,100.0,100.0,94.0,90.1,98.8,100.0,100.0,100.0,100.0,100.0,100.0,84.1,60.0,75.0,100.0,75.0,77.0,96.8,99.7,98.0,99.1,79.3,100.0,100.0,50.0
Istanbul,25.0,100.0,50.0,75.0,50.0,90.2,50.0,50.0,72.1,60.0,19.8,18.7,100.0,50.0,67.5,72.9,67.0,84.3,39.0,100.0,30.0,100.0,50.0,75.0,75.0,99.5,53.9,75.9,78.4,70.2,50.0,100.0,100.0,100.0,100.0,17.5,35.0,50.0,50.0,50.0,41.0,85.3,91.3,80.6,95.8,49.8,25.0,50.0,50.0
Jakarta,25.0,66.7,0.0,0.0,50.0,100.0,25.0,9.6,44.2,73.3,6.6,0.0,76.9,37.5,84.6,58.8,43.3,66.9,60.7,100.0,65.0,0.0,50.0,50.0,50.0,96.9,99.5,63.5,60.4,97.9,50.0,100.0,100.0,0.0,0.0,74.6,60.0,25.0,75.0,50.0,37.0,95.8,98.6,97.9,86.0,47.2,25.0,100.0,25.0
Jeddah,50.0,66.7,0.0,75.0,100.0,100.0,50.0,70.2,32.6,73.3,11.2,24.2,97.5,62.5,32.0,83.0,63.5,82.9,100.0,100.0,60.0,0.0,75.0,100.0,0.0,96.2,49.2,69.8,67.3,100.0,50.0,100.0,0.0,100.0,0.0,4.8,45.0,75.0,100.0,75.0,46.0,98.5,99.6,99.7,79.2,79.2,25.0,75.0,75.0
Johannesburg,50.0,66.7,50.0,75.0,50.0,100.0,75.0,47.7,86.0,80.0,19.8,6.8,94.3,50.0,59.4,85.1,0.0,50.1,60.9,100.0,35.0,50.0,50.0,50.0,75.0,98.8,33.6,0.0,58.3,100.0,50.0,100.0,100.0,0.0,100.0,12.7,65.0,0.0,25.0,25.0,45.0,82.6,99.8,99.9,1.7,21.5,75.0,100.0,75.0
Karachi,25.0,100.0,0.0,0.0,50.0,99.7,50.0,4.6,14.0,66.7,4.1,7.3,48.1,50.0,11.7,64.8,33.3,0.0,79.1,100.0,30.0,50.0,25.0,25.0,0.0,79.7,99.9,74.1,17.4,0.0,100.0,100.0,0.0,0.0,0.0,19.0,40.0,25.0,25.0,25.0,32.0,74.6,0.0,0.0,52.8,35.8,0.0,25.0,25.0
Kuala Lumpur,50.0,66.7,50.0,75.0,50.0,100.0,50.0,72.0,62.8,73.3,14.9,13.0,98.5,62.5,75.1,77.9,65.0,93.0,69.8,100.0,50.0,50.0,75.0,100.0,75.0,98.3,52.0,84.5,96.4,100.0,50.0,100.0,100.0,100.0,100.0,76.2,65.0,50.0,75.0,75.0,49.0,91.5,99.7,100.0,85.3,30.4,75.0,100.0,100.0
